A0A059RYW7,1.6.5.3,IPR010933;IPR003917;IPR001750;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0008137];[GO:0006120],"ND2,,,,,,,"
B4DYA7,1.1.1.49,IPR001282;IPR019796;IPR022675;IPR022674;IPR036291;,[GO:0004345];[GO:0050661];[GO:0006006];[GO:0006098],",,,,,,,,"
H7BZ17,2.8.2.-,IPR027417;IPR000863;,[GO:0008146],"SULT1C2,,,,,,,,"
A0A1B1PEP9,1.9.3.1,IPR023616;IPR036927;IPR000883;IPR023615;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0004129];[GO:0020037];[GO:0046872];[GO:0009060];[GO:0006119],"COX1,,,,,,,,"
A0A2P9AUS4,2.1.2.3; 3.5.4.10,IPR024051;IPR016193;IPR011607;IPR036914;IPR002695;,[GO:0003937];[GO:0004643];[GO:0006164],"purH BQ8482_540003,,,,,,,,"
E3W716,1.6.5.3,IPR010934;IPR003945;IPR001750;IPR001516;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0008137];[GO:0042773],"ND5,,,,,,,,"
F8VAF6,1.6.5.3,IPR010934;IPR003945;IPR001750;IPR001516;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0008137];[GO:0042773],"ND5,,,,,,,,"
A0A143FZ05,1.9.3.1,IPR023616;IPR036927;IPR000883;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0004129];[GO:0020037];[GO:0046872];[GO:0009060];[GO:0006119],"COX1,,,,,,,,"
B3KS74,2.7.7.7,IPR013697;IPR029703;,[GO:0008622];[GO:0051539];[GO:0003677];[GO:0003887];[GO:0008270];[GO:0006281];[GO:0006260],",,,,,,,"
U5YUF0,2.1.1.43,IPR036236;IPR013087;,[GO:0018024];[GO:0003676],"PRDM9,,,,,,,,"
K7EPX0,2.7.8.5,IPR016270;,[GO:0005739];[GO:0005524];[GO:0008444];[GO:0032049],"PGS1,,,,,,,,"
A0A1B0RPQ1,2.7.11.14,IPR000276;IPR017452;IPR001681;IPR001013;,[GO:0016021];[GO:0005886];[GO:0050254];[GO:0004995],"TACR3,,,,,,,,"
Q8TE40,1.14.15.4,IPR036396;,[GO:0020037];[GO:0005506];[GO:0004507],"CYP11B1,,,,,,,,"
H9PIQ3,1.6.5.3,IPR010934;IPR003945;IPR001750;IPR001516;,[GO:0016021];[GO:0005743];[GO:0070469];[GO:0008137];[GO:0042773],"ND5,,,,,,,,"
B4E1H9,2.7.2.3,IPR001576;IPR015911;IPR015824;IPR036043;,[GO:0004618];[GO:0006096],",,,,,,,,"
Q9UMB3,1.2.4.4,IPR034616;IPR029061;,[GO:0003863];[GO:0003826];[GO:0009083],",,,,,,,,"
B4DZC3,3.1.13.-,IPR027073;IPR004859;IPR017151;,[GO:0005634];[GO:0004534];[GO:0003676];[GO:0006397],",,,,,,,,"
V5QSK8,2.4.1.224,?,[GO:0050508],"EXT1,,,,,,,,"
E9PJF3,1.-.-.-,IPR036188;IPR000960;IPR020946;IPR002257;,[GO:0050660];[GO:0004499];[GO:0050661],"FMO5,,,,,,,"
A0A0A7E6P9,3.4.11.-,IPR033520;IPR024571;IPR034016;IPR001930;IPR014782;,[GO:0005789];[GO:0070006];[GO:0008270];[GO:0019885];[GO:0008217],"ERAP1,,,,,,,,"
A0A023I8P3,1.6.5.3,IPR001457;,[GO:0016021];[GO:0005739];[GO:0008137],"ND6,,,,,,,,"
A0A141ZRF4,1.9.3.1,IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;,[GO:0016021];[GO:0005743];[GO:0045277];[GO:0004129];[GO:0020037];[GO:0046872];[GO:0009060];[GO:0006119],"COX1,,,,,,,,"
